static_text,log_level,preprocessed_text
Subscribed to topic(s): *,info,subscrib topic
Subscribed to pattern: '*',info,subscrib pattern
Unsubscribed all topics or patterns and assigned partitions,info,unsubscrib topic pattern assign partit
Subscribed to partition(s): *,info,subscrib partit
Seeking to offset * for partition *,info,seek offset partit
Seeking to offset * for partition * with epoch *,info,seek offset partit epoch
Seeking to offset * for partition *,info,seek offset partit
Failed to close coordinator,error,fail close coordin
Failed to close consumer interceptor ,error,fail close consum interceptor
Assigned partition * for non-subscribed topic regex pattern; subscription pattern is *,info,assign partit topic regex pattern subscript pattern
Assigned partition * for non-subscribed topic; subscription is *,info,assign partit topic subscript
Resetting offset for partition * to offset *.,info,reset offset partit offset
"Truncation detected for partition * at offset *, resetting offset to the first offset known to diverge *",info,truncat detect partit offset reset offset first offset known diverg
"Coordinator has owned partitions * that are not revoked with * protocol, it is likely client is woken up before a previous pending rebalance completes its callback",info,coordin own partit revok protocol like client woken previou pend rebal complet callback
Setting newly assigned partitions: *,info,set newli assign partit
User provided listener * failed on partition assignment,error,user provid listen fail partit assign
"Updating with newly assigned partitions: *, compare with already owned partitions: *, newly added partitions: *, revoking partitions: *",info,updat newli assign partit compar alreadi own partit newli ad partit revok partit
User provided listener * failed on partition assignment,error,user provid listen fail partit assign
User provided listener * failed on partition revocation,error,user provid listen fail partit revoc
"The following not-subscribed topics are assigned, and their metadata will be fetched from the brokers: *",info,follow topic assign metadata fetch broker
Revoking previously assigned partitions *,info,revok previous assign partit
User provided listener * failed on partition revocation,error,user provid listen fail partit revoc
Setting offset for partition * to the committed offset *,info,set offset partit commit offset
Offset commit with offsets * failed,error,offset commit offset fail
Failing OffsetCommit request since the consumer is not part of an active group,info,fail offsetcommit request sinc consum part activ group
Offset commit failed on partition * at offset *: *,error,offset commit fail partit offset
Received fatal exception: group.instance.id gets fenced,error,receiv fatal except get fenc
Not authorized to commit to topics *,error,author commit topic
Found no committed offset for partition *,info,found commit offset partit
Unable to find FetchSessionHandler for node *. Ignoring fetch response.,error,unabl find fetchsessionhandl node ignor fetch respons
Discarding error in ListOffsetResponse because another error is pending,error,discard error listoffsetrespons anoth error pend
"Fetch offset * is out of range for partition *, resetting offset",info,fetch offset rang partit reset offset
Successfully joined group with generation *,info,success join group gener
(Re-)joining group,info,join group
Received fatal exception: group.instance.id gets fenced,error,receiv fatal except get fenc
Attempt to join group failed due to fatal error: *,error,attempt join group fail due fatal error
Attempt to join group failed due to unsupported version error. Please unset field group.instance.id and retryto see if the problem resolves,error,attempt join group fail due unsupport version error pleas unset field retryto see problem resolv
Attempt to join group failed due to unexpected error: *,error,attempt join group fail due unexpect error
Received fatal exception: group.instance.id gets fenced,error,receiv fatal except get fenc
Discovered group coordinator *,info,discov group coordin
"Group coordinator * is unavailable or invalid, will attempt rediscovery",info,group coordin unavail invalid attempt rediscoveri
Member * sending LeaveGroup request to coordinator * due to *,info,member send leavegroup request coordin due
Attempt to heartbeat failed since coordinator * is either not started or not valid.,info,attempt heartbeat fail sinc coordin either start valid
Attempt to heartbeat failed since group is rebalancing,info,attempt heartbeat fail sinc group rebalanc
Attempt to heartbeat failed since generation * is not current,info,attempt heartbeat fail sinc gener current
Received fatal exception: group.instance.id gets fenced,error,receiv fatal except get fenc
Attempt to heartbeat failed for since member id * is not valid.,info,attempt heartbeat fail sinc member id valid
Caught fenced group.instance.id * error in heartbeat thread,error,caught fenc error heartbeat thread
An authentication error occurred in the heartbeat thread,error,authent error occur heartbeat thread
A group authorization error occurred in the heartbeat thread,error,group author error occur heartbeat thread
Unexpected interrupt received in heartbeat thread,error,unexpect interrupt receiv heartbeat thread
Heartbeat thread failed due to unexpected error,error,heartbeat thread fail due unexpect error
Could not cast response body,error,could cast respons bodi
Instantiated a transactional producer.,info,instanti transact produc
Instantiated an idempotent producer.,info,instanti idempot produc
Overriding the default retries config to the recommended value of * since the idempotent producer is enabled.2147483647,info,overrid default retri config recommend valu sinc idempot produc
Overriding the default * to all since idempotence is enabled.acks,info,overrid default sinc idempot
Closing the Kafka producer with timeoutMillis = * ms.,info,close kafka produc timeoutmilli ms
Interrupted while joining ioThread,error,interrupt join iothread
Proceeding to force close the producer since pending requests could not be completed within timeout * ms.,info,proceed forc close produc sinc pend request could complet within timeout ms
ProducerId set to * with epoch *,info,producerid set epoch
"The broker returned * for topic-partition * with producerId *, epoch *, and sequence number *",error,broker return producerid epoch sequenc number
"No inflight batches remaining for *, last ack'd sequence for partition is *, next sequence is *. Going to reset producer state.",info,inflight batch remain last ack sequenc partit next sequenc go reset produc state
Could not add partition * due to unexpected error *,error,could add partit due unexpect error
Failed to close producer interceptor ,error,fail close produc interceptor
Uncaught error in kafka producer I/O thread: ,error,uncaught error kafka produc thread
Uncaught error in kafka producer I/O thread: ,error,uncaught error kafka produc thread
Aborting incomplete transaction due to shutdown,info,abort incomplet transact due shutdown
Uncaught error in kafka producer I/O thread: ,error,uncaught error kafka produc thread
Failed to close network client,error,fail close network client
Aborting producer batches due to fatal error,error,abort produc batch due fatal error
Error executing user-provided callback on message for topic-partition '*',error,error execut callback messag
"Error when sending message to topic * with key: *, value: * with error:",error,error send messag topic key valu error
$$$Empty Message$$$,info,empti messag
ClassNotFoundException exception occurred: ,error,classnotfoundexcept except occur
Reclaimed buffer of size * and identity * that was not properly release()ed. This is a bug.,error,reclaim buffer size ident properli releas ed bug
GC listener shutting down,info,gc listen shut
Error when removing metric from ,error,error remov metric
Error when registering metric on ,error,error regist metric
Error when closing ,error,error close
Failed to create channel due to ,info,fail creat channel due
Failed to create channel due to ,info,fail creat channel due
"Unexpected exception during send, closing connection * and rethrowing exception *",error,unexpect except send close connect rethrow except
Exception handling close on authentication failure node *,error,except handl close authent failur node
Exception closing connection to node *:,error,except close connect node
mismatch in sending bytes over socket; expected: * actual: *,error,mismatch send byte socket expect actual
"JAAS configuration is present, but system property zookeeper.sasl.client is set to false, which disables SASL in the ZooKeeper client",error,jaa configur present system properti set fals disabl sasl zookeep client
Successfully logged in.,info,success log
Successfully authenticated client: authenticationID=*; authorizationID=*.,info,success authent client
[Principal=*]: TGT valid starting at: *,info,tgt valid start
[Principal=*]: TGT expires: *,info,tgt expir
Initiating logout for *,info,initi logout
Initiating re-login for *,info,initi
$$$Empty Message$$$,error,empti messag
Login failed: * : * (URI=*),info,login fail
$$$Empty Message$$$,error,empti messag
SASL Extensions cannot be null. Check whether your callback handler is explicitly setting them as null.,error,sasl extens null check whether callback handler explicitli set null
[Principal=*]: Expiring credential re-login thread started.,info,expir credenti thread start
[Principal=*]: Expiring credential re-login sleeping until: *,info,expir credenti sleep
[Principal=*]: Expiring credential re-login thread has been interrupted and will exit.,info,expir credenti thread interrupt exit
$$$Empty Message$$$,error,empti messag
[Principal=*]: Interrupted while trying to perform a subsequent expiring credential re-login after one or more initial re-login failures: re-login thread exiting now: *,error,interrupt tri perform subsequ expir credenti one initi failur thread exit
Successfully logged in.,info,success log
"[Principal=*]: Current clock: * is later than expiry *. This may indicate a clock skew problem. Check that this host's and remote host's clocks are in sync. Not starting refresh thread. This process is likely unable to authenticate SASL connections (for example, it is unlikely to be able to authenticate a connection with a Kafka Broker).",error,current clock later expiri may indic clock skew problem check host remot host clock sync start refresh thread process like unabl authent sasl connect exampl unlik abl authent connect kafka broker
[Principal=*]: Current clock: * is later than expiry *. This may indicate a clock skew problem. Check that this host's and remote host's clocks are in sync. Exiting refresh thread.,error,current clock later expiri may indic clock skew problem check host remot host clock sync exit refresh thread
[Principal=*]: Expiring credential valid from * to *,info,expir credenti valid
"[Principal=*]: Proposed refresh time of * extends into the desired buffer time of * seconds before expiration, so refresh it at the desired buffer begin point, at *",info,propos refresh time extend desir buffer time second expir refresh desir buffer begin point
[Principal=*]: Expiring credential re-login thread time adjusted from * to * since the former is sooner than the minimum refresh interval (* seconds from now).,info,expir credenti thread time adjust sinc former sooner minimum refresh interv second
Initiating logout for *,info,initi logout
"Initiating re-login for *, logout() still needs to be called on a previous login = *",info,initi logout still need call previou login
No Expiring Credential after a supposedly-successful re-login,error,expir credenti
Retrieved token with principal *,info,retriev token princip
Successfully validated token with principal *: *,info,success valid token princip
Modification time of key store could not be obtained: ,error,modif time key store could obtain
Created new * SSL engine builder with keystore * truststore *,info,creat new ssl engin builder keystor truststor
"Registered signal handlers for  | , ",info,regist signal handler
Terminating process due to signal *,info,termin process due signal
Failed to close * with type *,error,fail close type
Kafka version: *,info,kafka version
Kafka commitId: *,info,kafka commitid
Kafka startTimeMs: *,info,kafka starttimem
Uncaught exception in thread '*':,error,uncaught except thread
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
Error while trying to seek to previous offset in file *: ,error,error tri seek previou offset file
Error while trying to open file *: ,error,error tri open file
Failed to close FileStreamSourceTask stream: ,error,fail close filestreamsourcetask stream
Usage: ConnectDistributed worker.properties,info,usag connectdistribut
Stopping due to error,error,stop due error
Scanning for plugin classes. This might take a moment ...,info,scan plugin class might take moment
Kafka Connect distributed worker initialization took *ms,info,kafka connect distribut worker initi took ms
Failed to start Connect,error,fail start connect
Usage: ConnectStandalone worker.properties connector1.properties [connector2.properties ...],info,usag connectstandalon
Kafka Connect standalone worker initializing ...,info,kafka connect standalon worker initi
Scanning for plugin classes. This might take a moment ...,info,scan plugin class might take moment
Kafka Connect standalone worker initialization took *ms,info,kafka connect standalon worker initi took ms
Failed to create job for *,error,fail creat job
Created connector *,info,creat connector
Stopping after connector error,error,stop connector error
Stopping due to error,error,stop due error
Setting up All Policy for ConnectorClientConfigOverride. This will allow all client configurations to be overridden,info,set polici connectorclientconfigoverrid allow client configur overridden
Setting up None Policy for ConnectorClientConfigOverride. This will disallow any client configuration to be overridden,info,set none polici connectorclientconfigoverrid disallow client configur overridden
Setting up Principal policy for ConnectorClientConfigOverride. This will allow `sasl` client configuration to be overridden.,info,set princip polici connectorclientconfigoverrid allow sasl client configur overridden
Kafka Connect starting,info,kafka connect start
Kafka Connect started,info,kafka connect start
Kafka Connect stopping,info,kafka connect stop
Kafka Connect stopped,info,kafka connect stop
Interrupted waiting for Kafka Connect to shutdown,error,interrupt wait kafka connect shutdown
Interrupted in shutdown hook while waiting for Kafka Connect startup to finish,error,interrupt shutdown hook wait kafka connect startup finish
Scheduling a restart of connector * in * ms,info,schedul restart connector ms
Unexpected error during connector restart: ,error,unexpect error connector restart
$$$Empty Message$$$,info,empti messag
Graceful shutdown of offset commitOffsets thread timed out.,error,grace shutdown offset commitoffset thread time
* Failed to commit offsets,error,fail commit offset
* Unhandled exception when committing: ,error,unhandl except commit
"Worker configuration property '*'* is deprecated and may be removed in an upcoming release. The specified value '*' matches the default, so this property can be safely removed from the worker configuration.",info,worker configur properti deprec may remov upcom releas specifi valu match default properti safe remov worker configur
* Task failed initialization and will not be started.,error,task fail initi start
* Commit of offsets threw an unexpected exception for sequence number *: *,error,commit offset threw unexpect except sequenc number
* Sink task finished initialization and start,info,sink task finish initi start
* Committing offsets synchronously using sequence number *: *,info,commit offset synchron use sequenc number
* Committing offsets asynchronously using sequence number *: *,info,commit offset asynchron use sequenc number
"* Offset commit failed, rewinding to last committed offsets",error,offset commit fail rewind last commit offset
* RetriableException from SinkTask:,error,retriableexcept sinktask
* Task threw an uncaught and unrecoverable exception. Task is being killed and will not recover until manually restarted.,error,task threw uncaught unrecover except task kill recov manual restart
* Task threw an uncaught and unrecoverable exception during shutdown,error,task threw uncaught unrecover except shutdown
* Task threw an uncaught and unrecoverable exception,error,task threw uncaught unrecover except
* Task is being killed and will not recover until manually restarted,error,task kill recov manual restart
Worker starting,info,worker start
Worker started,info,worker start
Worker stopping,info,worker stop
Worker stopped,info,worker stop
Creating connector * of type *,info,creat connector type
Instantiated connector * with version * of type *,info,instanti connector version type
Failed to start connector *,error,fail start connector
Finished creating connector *,info,finish creat connector
Stopping connector *,info,stop connector
Stopped connector *,info,stop connector
Creating task *,info,creat task
Instantiated task * with version * of type *,info,instanti task version type
Set up the key converter * for task * using the worker config,info,set key convert task use worker config
Set up the key converter * for task * using the connector config,info,set key convert task use connector config
Set up the value converter * for task * using the worker config,info,set valu convert task use worker config
Set up the value converter * for task * using the connector config,info,set valu convert task use connector config
Set up the header converter * for task * using the worker config,info,set header convert task use worker config
Set up the header converter * for task * using the connector config,info,set header convert task use connector config
Failed to start task *,error,fail start task
Initializing: *,info,initi
Initializing: *,info,initi
Tasks must be a subclass of either SourceTask or SinkTask,error,task must subclass either sourcetask sinktask
Stopping task *,info,stop task
Graceful stop of task * failed.,error,grace stop task fail
Setting connector * state to *,info,set connector state
* Task failed initialization and will not be started.,error,task fail initi start
* Source task finished initialization and start,info,sourc task finish initi start
* failed to send record to *:,error,fail send record
* Exception thrown while calling task.commitRecord(),error,except thrown call
* CRITICAL Saw callback for record that was not present in the outstanding message set: *,error,critic saw callback record present outstand messag set
* Committing offsets,info,commit offset
* flushing * outstanding messages for offset commit,info,flush outstand messag offset commit
"* Failed to flush, timed out while waiting for producer to flush outstanding * messages",error,fail flush time wait produc flush outstand messag
"* Interrupted while flushing messages, offsets will not be committed",error,interrupt flush messag offset commit
* Failed to flush offsets to storage: ,error,fail flush offset storag
* Flush of offsets threw an unexpected exception: ,error,flush offset threw unexpect except
* Timed out waiting to flush offsets to storage,error,time wait flush offset storag
* Finished commitOffsets successfully in * ms,info,finish commitoffset success ms
* Exception thrown while calling task.commit(),error,except thrown call
* Connector raised an error,error,connector rais error
* Error initializing connector,error,error initi connector
* Error while starting connector,error,error start connector
* Error while shutting down connector,error,error shut connector
* Error while shutting down connector,error,error shut connector
Rebalance started,info,rebal start
Herder starting,info,herder start
Herder started,info,herder start
Herder stopped,info,herder stop
"Uncaught exception in herder work thread, exiting: ",error,uncaught except herder work thread exit
Handling task config update by restarting tasks *,info,handl task config updat restart task
Stopping connectors and tasks that are still assigned to this worker.,info,stop connector task still assign worker
Herder stopping,info,herder stop
Herder stopped,info,herder stop
Unexpected error during task reconfiguration: ,error,unexpect error task reconfigur
"Task reconfiguration for * failed unexpectedly, this connector will not be properly reconfigured unless manually triggered.",error,task reconfigur fail unexpectedli connector properli reconfigur unless manual trigger
Current config state offset * does not match group assignment *. Forcing rebalance.,info,current config state offset match group assign forc rebal
"Current config state offset * is behind group assignment *, reading to end of config log",info,current config state offset behind group assign read end config log
"Finished reading to end of log and updated config snapshot, new config log offset: *",info,finish read end log updat config snapshot new config log offset
Starting connectors and tasks using config offset *,info,start connector task use config offset
Finished starting connectors and tasks,info,finish start connector task
Starting task *,info,start task
Couldn't instantiate task * because it has an invalid task configuration. This task will not execute until reconfigured.,error,could instanti task invalid task configur task execut reconfigur
Starting connector *,info,start connector
Couldn't instantiate connector  |  because it has an invalid connector  | configuration. This connector will not execute until reconfigured.,error,could instanti connector invalid connector configur connector execut reconfigur
Failed to shut down connector ,error,fail shut connector
"Failed to reconfigure connector's tasks, retrying after backoff:",error,fail reconfigur connector task retri backoff
Unexpected error during connector task reconfiguration: ,error,unexpect error connector task reconfigur
"Task reconfiguration for * failed unexpectedly, this connector will not be properly reconfigured unless manually triggered.",error,task reconfigur fail unexpectedli connector properli reconfigur unless manual trigger
Skipping reconfiguration of connector * since it is not running,info,skip reconfigur connector sinc run
Request to leader to reconfigure connector tasks failed,error,request leader reconfigur connector task fail
Connector * config removed,info,connector config remov
Connector * config updated,info,connector config updat
Tasks * configs updated,info,task config updat
Connector * target state change,info,connector target state chang
Joined group at generation * and got assignment: *,info,join group gener got assign
Finished stopping tasks in preparation for rebalance,info,finish stop task prepar rebal
"Wasn't unable to resume work after last rebalance, can skip stopping connectors and tasks",info,unabl resum work last rebal skip stop connector task
"Was selected to perform assignments, but do not have latest config found in sync request. Returning an empty configuration to trigger re-sync.",info,select perform assign latest config found sync request return empti configur trigger
"Was selected to perform assignments, but do not have latest config found in sync request. Returning an empty configuration to trigger re-sync.",info,select perform assign latest config found sync request return empti configur trigger
Topic * doesn't exist. Will attempt to create topic.,error,topic exist attempt creat topic
Could not serialize stacktrace.,error,could serial stacktrac
$$$Empty Message$$$,error,empti messag
Plugin class loader for connector: '*' was not found. Returning: *,error,plugin class loader connector found return
Added plugin '*',info,ad plugin
Invalid path in plugin path: *. Ignoring.,error,invalid path plugin path ignor
Could not get listing for plugin path: *. Ignoring.,error,could get list plugin path ignor
Could not instantiate plugins in: *. Ignoring: *,error,could instanti plugin ignor
Loading plugin from: *,info,load plugin
Registered loader: *,info,regist loader
Added alias '*' to plugin '*',info,ad alia plugin
Added aliases '*' and '*' to plugin '*',info,ad alias plugin
Added connector for ,info,ad connector
Initializing REST server,info,initi rest server
Initializing REST resources,info,initi rest resourc
REST resources initialized; server is started and ready to handle requests,info,rest resourc initi server start readi handl request
Stopping REST server,info,stop rest server
REST server stopped,info,rest server stop
Failed to start RestClient: ,error,fail start restclient
IO error forwarding REST request: ,error,io error forward rest request
Failed to stop HTTP client,error,fail stop http client
Ignoring unknown expanion type *,info,ignor unknown expanion type
Herder starting,info,herder start
Herder started,info,herder start
Herder stopping,info,herder stop
Herder stopped,info,herder stop
Task that requested reconfiguration does not exist: *,error,task request reconfigur exist
Skipping update of connector * since it is not running,info,skip updat connector sinc run
Starting FileOffsetBackingStore with file *,info,start fileoffsetbackingstor file
Stopped FileOffsetBackingStore,info,stop fileoffsetbackingstor
Failed to write status update,error,fail write statu updat
Invalid connector status type *,error,invalid connector statu type
Failed to deserialize connector status,error,fail deseri connector statu
Invalid task status type *,error,invalid task statu type
Failed to deserialize task status,error,fail deseri task statu
Starting KafkaConfigBackingStore,info,start kafkaconfigbackingstor
Started KafkaConfigBackingStore,info,start kafkaconfigbackingstor
Closing KafkaConfigBackingStore,info,close kafkaconfigbackingstor
Closed KafkaConfigBackingStore,info,close kafkaconfigbackingstor
Failed to remove connector configuration from Kafka: ,error,fail remov connector configur kafka
Failed to write connector configuration to Kafka: ,error,fail write connector configur kafka
Failed to write root configuration to Kafka: ,error,fail write root configur kafka
Failed to write root configuration to Kafka: ,error,fail write root configur kafka
Unexpected in consumer callback for KafkaConfigBackingStore: ,error,unexpect consum callback kafkaconfigbackingstor
Failed to convert config data to Kafka Connect format: ,error,fail convert config data kafka connect format
Found target state (*) in wrong format: *,error,found target state wrong format
Invalid target state for connector '*': *,error,invalid target state connector
Successfully processed removal of connector '*',info,success process remov connector
Found configuration for connector '*' in wrong format: *,error,found configur connector wrong format
Ignoring task configuration because * couldn't be parsed as a task config key,error,ignor task configur could pars task config key
Ignoring task configuration for task * because it is unexpectedly null,error,ignor task configur task unexpectedli null
Ignoring task configuration for task * because the value is not a Map but is *,error,ignor task configur task valu map
Invalid data for config of task * 'properties' field should be a Map but is *,error,invalid data config task field map
Ignoring connector tasks configuration commit for connector '*' because it is in the wrong format: *,error,ignor connector task configur commit connector wrong format
Discarding config update record with invalid key: *,error,discard config updat record invalid key
"CRITICAL: Failed to serialize partition key when getting offsets for task with namespace *. No value for this data will be returned, which may break the task or cause it to skip some data.",error,critic fail serial partit key get offset task namespac valu data return may break task caus skip data
Failed to fetch offsets from namespace *: ,error,fail fetch offset namespac
"Should be able to map * back to a requested partition-offset key, backing store may have returned invalid data",error,abl map back request key back store may return invalid data
"CRITICAL: Failed to deserialize offset data when getting offsets for task with namespace *. No value for this data will be returned, which may break the task or cause it to skip some data. This could either be due to an error in the connector implementation or incompatible schema.",error,critic fail deseri offset data get offset task namespac valu data return may break task caus skip data could either due error connector implement incompat schema
Starting KafkaOffsetBackingStore,info,start kafkaoffsetbackingstor
Finished reading offsets topic and starting KafkaOffsetBackingStore,info,finish read offset topic start kafkaoffsetbackingstor
Stopping KafkaOffsetBackingStore,info,stop kafkaoffsetbackingstor
Stopped KafkaOffsetBackingStore,info,stop kafkaoffsetbackingstor
"Invalid call to OffsetStorageWriter flush() while already flushing, the framework should not allow this",error,invalid call offsetstoragewrit flush alreadi flush framework allow
"CRITICAL: Failed to serialize offset data, making it impossible to commit offsets under namespace *. This likely won't recover unless the unserializable partition or offset information is overwritten.",error,critic fail serial offset data make imposs commit offset namespac like wo recov unless unserializ partit offset inform overwritten
Cause of serialization failure:,error,caus serial failur
Started SchemaSourceTask *-* producing to topic * resuming from seqno *,info,start schemasourcetask produc topic resum seqno
Started VerifiableSourceTask *-* producing to topic * resuming from seqno *,info,start verifiablesourcetask produc topic resum seqno
Starting KafkaBasedLog with topic ,info,start kafkabasedlog topic
Finished reading KafkaBasedLog for topic ,info,finish read kafkabasedlog topic
Started KafkaBasedLog for topic ,info,start kafkabasedlog topic
Stopping KafkaBasedLog for topic ,info,stop kafkabasedlog topic
Failed to stop KafkaBasedLog producer,error,fail stop kafkabasedlog produc
Failed to stop KafkaBasedLog consumer,error,fail stop kafkabasedlog consum
Stopped KafkaBasedLog for topic ,info,stop kafkabasedlog topic
Error polling: ,error,error poll
Unexpected exception in *,error,unexpect except
Created topic * on brokers at *,info,creat topic broker
Creating Kafka admin client,info,creat kafka admin client
Kafka cluster version is too old to return cluster ID,info,kafka cluster version old return cluster id
Kafka cluster ID: *,info,kafka cluster id
Thread * exiting with uncaught exception: ,error,thread exit uncaught except
Starting graceful shutdown of thread *,info,start grace shutdown thread
Forcing shutdown of thread *,info,forc shutdown thread
Removing handle for * task in connector *,info,remov handl task connector
Created task * for connector *,info,creat task connector
Started * connector *,info,start connector
Stopped * connector *,info,stop connector
Configured * connector *,info,configur connector
Started * task * with properties *,info,start task properti
Task * committing offsets,info,task commit offset
Stopped * task *,info,stop task
Starting connector *,info,start connector
Forwarding to framework request to commit additional * for *,error,forward framework request commit addit
Could not stop kafka,error,could stop kafka
Started worker *,info,start worker
Stopping worker *,info,stop worker
Could not stop connect,error,could stop connect
Starting Connect cluster '*' with * workers,info,start connect cluster worker
Could not execute PUT request to ,error,could execut put request
Could not read connector list,error,could read connector list
Could not read connector state,error,could read connector state
PUT response for URL=* is *,info,put respons
PUT error response for URL=* is *,info,put error respons
Could not shutdown producer ,error,could shutdown produc
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
State transition from * to *,info,state transit
All stream threads have died. The instance will be in error state and should be closed.,error,stream thread die instanc error state close
Global thread has died. The instance will be in error state and should be closed.,error,global thread die instanc error state close
"Already in the pending shutdown state, wait to complete shutdown",info,alreadi pend shutdown state wait complet shutdown
Streams client stopped completely,info,stream client stop complet
Streams client cannot stop completely within the timeout,info,stream client stop complet within timeout
"Exception caught during Deserialization, taskId: *, topic: *, partition: *, offset: *",error,except caught deseri taskid topic partit offset
Using grace period of [*] as the suppress duration for node [*].,info,use grace period suppress durat node
Empty partitions for topic *,error,empti partit topic
$$$Empty Message$$$,error,empti messag
Reinitializing StreamTask * for changelog *,info,reiniti streamtask changelog
End offset cannot be found form the returned metadata; removing this partition from the current run loop,info,end offset found form return metadata remov partit current run loop
No checkpoint found for task * state store * changelog * with EOS turned on. Reinitializing the task and restore its state from the beginning.,info,checkpoint found task state store changelog eo turn reiniti task restor state begin
Restoring task *'s state store * from beginning of the changelog * ,info,restor task state store begin changelog
Unexpected state transition from * to *,error,unexpect state transit
State transition from * to *,info,state transit
Updating global state failed. You can restart KafkaStreams to recover from this error.,error,updat global state fail restart kafkastream recov error
Failed to close global consumer due to the following error:,error,fail close global consum due follow error
Shutting down,info,shut
Failed to close state maintainer due to the following error:,error,fail close state maintain due follow error
Shutdown complete,info,shutdown complet
Could not lock global state directory. This could happen if multiple KafkaStreams instances are running on the same host using the same state directory.,error,could lock global state directori could happen multipl kafkastream instanc run host use state directori
Failed to resume an active task * due to the following error:,error,fail resum activ task due follow error
Failed to flush state store *: ,error,fail flush state store
Failed to close state store *: ,error,fail close state store
Skipping to close non-initialized store *,info,skip close store
Failed to unlock the global state directory,error,fail unlock global state directori
Restoring state for global store *,info,restor state global store
Failed to get end offsets for topic partitions of global store * after * retry attempts. You can increase the number of retries via configuration parameter `retries`.,error,fail get end offset topic partit global store retri attempt increas number retri via configur paramet retri
Failed to get partitions for topic * after * retry attempts due to timeout. The broker may be transiently unavailable at the moment. You can increase the number of retries via configuration parameter `retries`.,error,fail get partit topic retri attempt due timeout broker may transient unavail moment increas number retri via configur paramet retri
Failed to close global state store *,error,fail close global state store
Skipping to close non-initialized store *,info,skip close store
Failed to remove restoring task * due to the following error:,error,fail remov restor task due follow error
Failed to commit * since it got migrated to another thread already. Closing it as zombie before triggering a new rebalance.,info,fail commit sinc got migrat anoth thread alreadi close zombi trigger new rebal
Failed to commit StreamTask * due to the following error:,error,fail commit streamtask due follow error
Failed to process stream task * since it got migrated to another thread already. Closing it as zombie before triggering a new rebalance.,info,fail process stream task sinc got migrat anoth thread alreadi close zombi trigger new rebal
Failed to process stream task * due to the following error:,error,fail process stream task due follow error
Failed to punctuate stream task * since it got migrated to another thread already. Closing it as zombie before triggering a new rebalance.,info,fail punctuat stream task sinc got migrat anoth thread alreadi close zombi trigger new rebal
Failed to punctuate stream task * due to the following error:,error,fail punctuat stream task due follow error
Downgrading metadata version from * to 1 for upgrade from 0.10.0.x.4,info,downgrad metadata version upgrad
Downgrading metadata version from * to 2 for upgrade from *.x.4,info,downgrad metadata version upgrad
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
"* is unknown yet during rebalance, please make sure they have been pre-created before starting the Streams application.",error,unknown yet rebal pleas make sure start stream applic
Received a future (version probing) subscription (version: *). Sending empty assignment back (with supported version *).4,info,receiv futur version probe subscript version send empti assign back support version
Downgrading metadata to version *. Latest supported version is *.4,info,downgrad metadata version latest support version
Missing source topic * durign assignment. Returning error *.,error,miss sourc topic durign assign return error
Assigned tasks to clients as *.,info,assign task client
Sent a version * subscription and got version * assignment back (successful version probing). Downgrading subscription metadata to received version and trigger new rebalance.,info,sent version subscript got version assign back success version probe downgrad subscript metadata receiv version trigger new rebal
Sent a version * subscription and got version * assignment back (successful version probing). Setting subscription metadata to leaders supported version * and trigger new rebalance.,info,sent version subscript got version assign back success version probe set subscript metadata leader support version trigger new rebal
Sent a version * subscription and group leader's latest supported version is *. Upgrading subscription metadata version to * for next rebalance.,info,sent version subscript group leader latest support version upgrad subscript metadata version next rebal
Sent a version * subscription and group leader's latest supported version is *. Upgrading subscription metadata version to * for next rebalance.,info,sent version subscript group leader latest support version upgrad subscript metadata version next rebal
$$$Empty Message$$$,error,empti messag
Encountered error extracting stacktrace from this exception,error,encount error extract stacktrac except
Failed to close producer due to the following error:,error,fail close produc due follow error
Could not close state manager due to the following error:,error,could close state manag due follow error
Could not close task due to the following error:,error,could close task due follow error
"Timeout exception caught when initializing transactions for task *. This might happen if the broker is slow to respond, if the network connection to the broker was interrupted, or if similar circumstances arise. You can increase producer parameter `max.block.ms` to increase this timeout.",error,timeout except caught initi transact task might happen broker slow respond network connect broker interrupt similar circumst aris increas produc paramet increas timeout
"Failed to close *, *",error,fail close
Failed to suspend * * since it got migrated to another thread already. Closing it as zombie and move on.,info,fail suspend sinc got migrat anoth thread alreadi close zombi move
Suspending * * failed due to the following error:,error,suspend fail due follow error
