static_text,log_level,preprocessed_text
Could not delete temporary configuration file ,info,could delet temporari configur file
Creating container launch context for TaskManagers,info,creat contain launch context taskmanag
Starting TaskManagers,info,start taskmanag
Could not set security tokens because Hadoop's token file location is unknown.,info,could set secur token hadoop token file locat unknown
Neither the HADOOP_CONF_DIR nor the YARN_CONF_DIR environment variable is set. The Flink YARN Client needs one of these to be set to properly load the Hadoop configuration for accessing YARN.,warn,neither environ variabl set flink yarn client need one set properli load hadoop configur access yarn
Neither the HADOOP_CONF_DIR nor the YARN_CONF_DIR environment variable is set.The Flink YARN Client needs one of these to be set to properly load the Hadoop configuration for accessing YARN.,warn,neither environ variabl flink yarn client need one set properli load hadoop configur access yarn
Found Web Interface *:* of application '*'.,info,found web interfac applic
Cluster specification: *,info,cluster specif
"The JobManager or TaskManager memory is below the smallest possible YARN Container size.  | The value of 'yarn.scheduler.minimum-allocation-mb' is ' | '. Please increase the memory size. | YARN will allocate the smaller containers but the scheduler will account for the minimum-allocation-mb, maybe not all instances  | you requested will start.",warn,jobmanag taskmanag memori smallest possibl yarn contain size valu pleas increas memori size yarn alloc smaller contain schedul account mayb instanc request start
This YARN session requires  | MB of memory in the cluster.  | There are currently only  | MB available.,warn,yarn session requir mb memori cluster current mb avail
The requested amount of memory for the TaskManagers ( | MB) is more than  | the largest possible YARN container: ,warn,request amount memori taskmanag mb largest possibl yarn contain
The requested amount of memory for the JobManager ( | MB) is more than  | the largest possible YARN container: ,warn,request amount memori jobmanag mb largest possibl yarn contain
Unable to find a NodeManager that can fit the JobManager/Application master.  | The JobManager requires  | MB. NodeManagers available: ,warn,unabl find nodemanag fit master jobmanag requir mb nodemanag avail
"There is not enough memory available in the YARN cluster.  | The TaskManager(s) require  | MB each.  | NodeManagers available:  | \n | After allocating the JobManager ( | MB) and ( | / | ) TaskManagers,  | the following NodeManagers are available: ",warn,enough memori avail yarn cluster taskmanag requir mb nodemanag avail alloc jobmanag mb taskmanag follow nodemanag avail
The specified queue ' | ' does not exist.  | Available queues: ,warn,specifi queue exist avail queue
Error while getting queue information from YARN: ,warn,error get queue inform yarn
The file system scheme is ' | '. This indicates that the  | specified Hadoop configuration path is wrong and the system is using the default Hadoop configuration values. | The Flink YARN client needs to store its files in a distributed file system,warn,file system scheme indic specifi hadoop configur path wrong system use default hadoop configur valu flink yarn client need store file distribut file system
The configuration directory (' | ') contains both LOG4J and  | Logback configuration files. Please delete or rename one of them.,warn,configur directori contain log4j logback configur file pleas delet renam one
Add job graph to local resource fail,warn,add job graph local resourc fail
Adding Yarn configuration * to the AM container local resource bucket,info,ad yarn configur contain local resourc bucket
Adding KRB5 configuration * to the AM container local resource bucket,info,ad krb5 configur contain local resourc bucket
Adding keytab * to the AM container local resource bucket,info,ad keytab contain local resourc bucket
Adding delegation token to the AM container..,info,ad deleg token contain
Submitting application master ,info,submit applic master
Waiting for the cluster to be allocated,info,wait cluster alloc
YARN application has been deployed successfully.,info,yarn applic deploy success
"Deploying cluster, current state ",info,deploy cluster current state
Deployment took more than 60 seconds. Please check if the requested resources are available in the YARN cluster,info,deploy took 60 second pleas check request resourc avail yarn cluster
"The Flink YARN client has been started in detached mode. In order to stop  | Flink on YARN, use the following command or a YARN web interface to stop  | it:\nyarn application -kill  | \nPlease also note that the  | temporary files of the YARN session in the home directory will not be removed.",info,flink yarn client start detach mode order stop flink yarn use follow command yarn web interfac stop applic also note temporari file yarn session home directori remov
Killing YARN application,info,kill yarn applic
Cancelling deployment from Deployment Failure Hook,info,cancel deploy deploy failur hook
Deleting files in *.,info,delet file
Environment variable '*' not set and ship files have not been provided manually. Not shipping any library files.FLINK_LIB_DIR,warn,environ variabl set ship file provid manual ship librari
The environment variable ' | ' is set to ' | ' but the directory doesn't exist.,warn,environ variabl set directori exist
Cannot reconnect to previously allocated containers. This YARN version does not support 'getContainersFromPreviousAttempts()',info,reconnect previous alloc contain yarn version support
Found Yarn properties file under *.,info,found yarn properti file
No path for the flink jar passed. Using the location of  |  to locate the jar,info,path flink jar pass use locat locat jar
Ship directory * is not a directory. Ignoring it.,warn,ship directori directori ignor
The argument * is deprecated in will be ignored.,info,argument deprec ignor
Could not properly shutdown cluster client.,info,could properli shutdown cluster client
Could not properly terminate the Flink cluster.,info,could properli termin flink cluster
"The Flink YARN client has been started in detached mode. In order to stop  | Flink on YARN, use the following command or a YARN web interface to stop it:\n | yarn application -kill ",info,flink yarn client start detach mode order stop flink yarn use follow command yarn web interfac stop yarn applic
Could not properly close the yarn cluster descriptor.,info,could properli close yarn cluster descriptor
Could not properly close the Yarn application status monitor.,info,could properli close yarn applic statu monitor
Could not properly shutdown cluster client.,info,could properli shutdown cluster client
Could not log the final application report.,info,could log final applic report
Application  |  finished with state  |  and final state  |  at ,info,applic finish state final state
Application failed. Diagnostics ,warn,applic fail diagnost
"If log aggregation is activated in the Hadoop cluster, we recommend to retrieve  | the full application log using this command: | \tyarn logs -applicationId  | (It sometimes takes a few seconds until the logs are aggregated)",warn,log aggreg activ hadoop cluster recommend retriev full applic log use command log sometim take second log aggreg
Deleted Yarn properties file at *,info,delet yarn properti file
Couldn't delete Yarn properties file at *,warn,could delet yarn properti file
Exception while deleting the JobManager address file,warn,except delet jobmanag address file
$$$Empty Message$$$,info,empti messag
Exception while running the interactive command line interface.,warn,except run interact command line interfac
Could not retrieve the Yarn application report for *.,info,could retriev yarn applic report
Yarn client is no longer in state STARTED. Stopping the Yarn application status monitor.,info,yarn client longer state start stop yarn applic statu monitor
Could not log YARN environment information.,warn,could log yarn environ inform
YARN daemon is running as: * Yarn client user obtainer: *,info,yarn daemon run yarn client user obtain
Could not log YARN environment information.,warn,could log yarn environ inform
Flink YARN application will store recovery data at *,info,flink yarn applic store recoveri data
"Failed to deserialize value for header '*' on topic '*', so using byte array",warn,fail deseri valu header topic use byte array
Hostname for node * changed from * to *.,info,hostnam node chang
Attempting to close NetworkClient that has already been closed.,warn,attempt close networkcli alreadi close
"Connection to node * (*) terminated during authentication. This may happen due to any of the following reasons: (1) Authentication failed due to invalid credentials with brokers older than 1.0.0, (2) Firewall blocking Kafka TLS traffic (eg it may only allow HTTPS traffic), (3) Transient network issue.",warn,connect node termin authent may happen due follow reason authent fail due invalid credenti broker older firewal block kafka tl traffic eg may allow http traffic transient network issu
Connection to node * (*) could not be established. Broker may not be available.,warn,connect node could establish broker may avail
Received error * from node * when making an ApiVersionsRequest with correlation id *. Disconnecting.,warn,receiv error node make apiversionsrequest correl id disconnect
Error connecting to node *,warn,error connect node
Bootstrap broker * disconnected,warn,bootstrap broker disconnect
"* partitions have leader brokers without a matching listener, including *",warn,partit leader broker without match listen includ
Error while fetching metadata with correlation id * : *,warn,error fetch metadata correl id
Couldn't resolve server * from * as DNS resolution of the canonical hostname [} failed for *bootstrap.servers,warn,could resolv server dn resolut canon hostnam fail
Couldn't resolve server * from * as DNS resolution failed for *bootstrap.servers,warn,could resolv server dn resolut fail
Node * was unable to process the fetch request with *: *.,info,node unabl process fetch request
Node * sent an invalid full fetch response with *,info,node sent invalid full fetch respons
Node * sent an invalid incremental fetch response with *,info,node sent invalid increment fetch respons
Error sending fetch request * to node *: *.,info,error send fetch request node
Cluster ID: *,info,cluster id
Aborted call * is still in callsInFlight.,warn,abort call still callsinflight
Forcing a hard I/O thread shutdown. Requests in progress will be aborted.,info,forc hard thread shutdown request progress abort
Node * is no longer the Coordinator. Retrying with new coordinator.,info,node longer coordin retri new coordin
Skipping return offset for * due to error *.,warn,skip return offset due error
Metadata update failed due to authentication error,warn,metadata updat fail due authent error
Metadata update failed,info,metadata updat fail
Partition '*' is assigned to multiple consumers following sticky assignment generation *.,warn,partit assign multipl consum follow sticki assign gener
Support for using the empty group id by consumers is deprecated and will be removed in the next major release.,warn,support use empti group id consum deprec remov next major releas
Subscribed to topic(s): *,info,subscrib topic
Subscribed to pattern: '*',info,subscrib pattern
Unsubscribed all topics or patterns and assigned partitions,info,unsubscrib topic pattern assign partit
Subscribed to partition(s): *,info,subscrib partit
Still waiting for metadata,warn,still wait metadata
Seeking to offset * for partition *,info,seek offset partit
Seeking to offset * for partition * with epoch *,info,seek offset partit epoch
Seeking to offset * for partition *,info,seek offset partit
"Missing partition * from response, ignoring",warn,miss partit respons ignor
Received unknown topic or partition error in ListOffset request for partition *,warn,receiv unknown topic partit error listoffset request partit
"Attempt to fetch offsets for partition * failed due to: *, retrying.",warn,attempt fetch offset partit fail due retri
Error executing interceptor onConsume callback,warn,error execut interceptor onconsum callback
Error executing interceptor onCommit callback,warn,error execut interceptor oncommit callback
Assigned partition * for non-subscribed topic regex pattern; subscription pattern is *,info,assign partit topic regex pattern subscript pattern
Assigned partition * for non-subscribed topic; subscription is *,info,assign partit topic subscript
Resetting offset for partition * to offset *.,info,reset offset partit offset
"Truncation detected for partition * at offset *, resetting offset to the first offset known to diverge *",info,truncat detect partit offset reset offset first offset known diverg
"Truncation detected for partition * at offset * (the end offset from the broker is *), but no reset policy is set",warn,truncat detect partit offset end offset broker reset polici set
We received an assignment * that doesn't match our current subscription *; it is likely that the subscription has changed since we joined the group. Will try re-join the group with current subscription,warn,receiv assign match current subscript like subscript chang sinc join group tri group current subscript
"Coordinator has owned partitions * that are not revoked with * protocol, it is likely client is woken up before a previous pending rebalance completes its callback",info,coordin own partit revok protocol like client woken previou pend rebal complet callback
Setting newly assigned partitions: *,info,set newli assign partit
"Updating with newly assigned partitions: *, compare with already owned partitions: *, newly added partitions: *, revoking partitions: *",info,updat newli assign partit compar alreadi own partit newli ad partit revok partit
The following subscribed topics are not assigned to any members: * ,warn,follow subscrib topic assign member
"The following not-subscribed topics are assigned, and their metadata will be fetched from the brokers: *",info,follow topic assign metadata fetch broker
Revoking previously assigned partitions *,info,revok previous assign partit
Setting offset for partition * to the committed offset *,info,set offset partit commit offset
Synchronous auto-commit of offsets * failed: *,warn,synchron offset fail
Failing OffsetCommit request since the consumer is not part of an active group,info,fail offsetcommit request sinc consum part activ group
Offset commit failed on partition * at offset *: *,warn,offset commit fail partit offset
Found no committed offset for partition *,info,found commit offset partit
Received unknown topic or partition error in ListOffset request for partition *,warn,receiv unknown topic partit error listoffset request partit
"Attempt to fetch offsets for partition * failed due to: *, retrying.",warn,attempt fetch offset partit fail due retri
Received unknown topic or partition error in fetch for partition *,warn,receiv unknown topic partit error fetch partit
"Fetch offset * is out of range for partition *, resetting offset",info,fetch offset rang partit reset offset
Not authorized to read from partition *.,warn,author read partit
Unknown error fetching data for topic-partition *,warn,unknown error fetch data
still waiting to ensure active group,warn,still wait ensur activ group
Interrupted while waiting for consumer heartbeat thread to close,warn,interrupt wait consum heartbeat thread close
Successfully joined group with generation *,info,success join group gener
(Re-)joining group,info,join group
Discovered group coordinator *,info,discov group coordin
"Group coordinator * is unavailable or invalid, will attempt rediscovery",info,group coordin unavail invalid attempt rediscoveri
"Close timed out with * pending requests to coordinator, terminating client connections",warn,close time pend request coordin termin client connect
Member * sending LeaveGroup request to coordinator * due to *,info,member send leavegroup request coordin due
Attempt to heartbeat failed since coordinator * is either not started or not valid.,info,attempt heartbeat fail sinc coordin either start valid
Attempt to heartbeat failed since group is rebalancing,info,attempt heartbeat fail sinc group rebalanc
Attempt to heartbeat failed since generation * is not current,info,attempt heartbeat fail sinc gener current
Attempt to heartbeat failed for since member id * is not valid.,info,attempt heartbeat fail sinc member id valid
* should be equal to or larger than * + *. Setting it to *.delivery.timeout.mslinger.msrequest.timeout.ms,warn,equal larger set
Instantiated a transactional producer.,info,instanti transact produc
Instantiated an idempotent producer.,info,instanti idempot produc
Overriding the default retries config to the recommended value of * since the idempotent producer is enabled.2147483647,info,overrid default retri config recommend valu sinc idempot produc
Overriding the default * to all since idempotence is enabled.acks,info,overrid default sinc idempot
Closing the Kafka producer with timeoutMillis = * ms.,info,close kafka produc timeoutmilli ms
Overriding close timeout * ms to 0 ms in order to prevent useless blocking due to self-join. This means you have incorrectly invoked close with a non-zero timeout from the producer call-back.,warn,overrid close timeout ms ms order prevent useless block due mean incorrectli invok close timeout produc
Proceeding to force close the producer since pending requests could not be completed within timeout * ms.,info,proceed forc close produc sinc pend request could complet within timeout ms
ProducerId set to * with epoch *,info,producerid set epoch
"No inflight batches remaining for *, last ack'd sequence for partition is *, next sequence is *. Going to reset producer state.",info,inflight batch remain last ack sequenc partit next sequenc go reset produc state
"Error executing interceptor onSend callback for topic: *, partition: *",warn,error execut interceptor onsend callback topic partit
Error executing interceptor onSend callback,warn,error execut interceptor onsend callback
Error executing interceptor onAcknowledgement callback,warn,error execut interceptor onacknowledg callback
Error executing interceptor onAcknowledgement callback,warn,error execut interceptor onacknowledg callback
"Skipping next batch expiry time update due to addition overflow: batch.createMs=*, deliveryTimeoutMs=*",warn,skip next batch expiri time updat due addit overflow
Aborting incomplete transaction due to shutdown,info,abort incomplet transact due shutdown
Cancelled request * due to a version mismatch with node *,warn,cancel request due version mismatch node
"Got error produce response in correlation id * on topic-partition *, splitting and retrying (* attempts left). Error: *",warn,got error produc respons correl id split retri attempt left error
"Got error produce response with correlation id * on topic-partition *, retrying (* attempts left). Error: *",warn,got error produc respons correl id retri attempt left error
Received unknown topic or partition error in produce request on partition *. The topic-partition may not exist or the user may not have Describe access to it,warn,receiv unknown topic partit error produc request partit may exist user may describ access
Received invalid metadata error in produce request on partition * due to *. Going to request metadata update now,warn,receiv invalid metadata error produc request partit due go request metadata updat
$$$Empty Message$$$,info,empti messag
The configuration '*' was supplied but isn't a known config.,warn,configur suppli known config
GC listener shutting down,info,gc listen shut
Error getting JMX attribute '*',warn,error get jmx attribut
Failed to create channel due to ,info,fail creat channel due
Failed to create channel due to ,info,fail creat channel due
Should never happen: re-authentication latency for a re-authenticated channel was null; continuing...,warn,never happen latenc channel null continu
Unexpected error from *; closing connection,warn,unexpect error close connect
Failed to create channel due to ,warn,fail creat channel due
Unexpected error code: *.,warn,unexpect error code
Record batch from * with last offset * exceeded max record batch size * after cleaning (new size is *). Consumers with version earlier than 0.10.1.0 may need to increase their fetch sizes.,warn,record batch last offset exceed max record batch size clean new size consum version earlier may need increas fetch size
"Server config * should be prefixed with SASL mechanism name, ignoring configsasl.jaas.config",warn,server config prefix sasl mechan name ignor
Successfully logged in.,info,success log
Cannot add private credential to subject; clients authentication may fail,warn,add privat credenti subject client authent may fail
Successfully authenticated client: authenticationID=*; authorizationID=*.,info,success authent client
[Principal=*]: Error while waiting for Login thread to shutdown.,warn,error wait login thread shutdown
[Principal=*]: TGT valid starting at: *,info,tgt valid start
[Principal=*]: TGT expires: *,info,tgt expir
[Principal=*]: Not attempting to re-login since the last re-login was attempted less than * seconds before.,warn,attempt sinc last attempt less second
Initiating logout for *,info,initi logout
Initiating re-login for *,info,initi
Login failed: * : * (URI=*),info,login fail
"Found * OAuth Bearer tokens in Subject's private credentials; the oldest expires at *, will use the newest, which expires at *",warn,found oauth bearer token subject privat credenti oldest expir use newest expir
[Principal=*]: Expiring credential re-login thread started.,info,expir credenti thread start
[Principal=*]: Expiring credential re-login sleep time was calculated to be in the past! Will explicitly adjust. (*),warn,expir credenti sleep time calcul past explicitli adjust
[Principal=*]: Expiring credential re-login sleeping until: *,info,expir credenti sleep
[Principal=*]: Expiring credential re-login thread has been interrupted and will exit.,info,expir credenti thread interrupt exit
[Principal=%s]: LoginException during login retry; will sleep %d seconds before trying again.,warn,loginexcept login retri sleep second tri
Successfully logged in.,info,success log
[Principal=*]: Interrupted while waiting for re-login thread to shutdown.,warn,interrupt wait thread shutdown
[Principal=*]: No Expiring credential found: will try again at *,warn,expir credenti found tri
[Principal=*]: Expiring credential already expired at *: will try to refresh again at *,warn,expir credenti alreadi expir tri refresh
"[Principal=*]: Expiring credential refresh thread exiting because the expiring credential's current expiration time (*) exceeds the latest possible refresh time (*). This process will not be able to authenticate new SASL connections after that time (for example, it will not be able to authenticate a new connection with a Kafka Broker).",warn,expir credenti refresh thread exit expir credenti current expir time exce latest possibl refresh time process abl authent new sasl connect time exampl abl authent new connect kafka broker
[Principal=*]: Expiring credential valid from * to *,info,expir credenti valid
"[Principal=*]: Expiring credential expires at *, so buffer times of * and * seconds at the front and back, respectively, cannot be accommodated.  We will refresh at *.",warn,expir credenti expir buffer time second front back respect accommod refresh
"[Principal=*]: Proposed refresh time of * extends into the desired buffer time of * seconds before expiration, so refresh it at the desired buffer begin point, at *",info,propos refresh time extend desir buffer time second expir refresh desir buffer begin point
[Principal=*]: Expiring credential re-login thread time adjusted from * to * since the former is sooner than the minimum refresh interval (* seconds from now).,info,expir credenti thread time adjust sinc former sooner minimum refresh interv second
Initiating logout for *,info,initi logout
"Initiating re-login for *, logout() still needs to be called on a previous login = *",info,initi logout still need call previou login
Retrieved token with principal *,info,retriev token princip
Successfully validated token with principal *: *,info,success valid token princip
Unrecognized client authentication configuration *.  Falling back to NONE.  Recognized client authentication configurations are *.,warn,unrecogn client authent configur fall back none recogn client authent configur
Created new * SSL engine builder with keystore * truststore *,info,creat new ssl engin builder keystor truststor
"Registered signal handlers for  | , ",info,regist signal handler
Terminating process due to signal *,info,termin process due signal
Error reading the error stream,warn,error read error stream
Interrupted while reading the error stream,warn,interrupt read error stream
Error while closing the input stream,warn,error close input stream
Error while closing the error stream,warn,error close error stream
Failed to close * with type *,warn,fail close type
Error registering AppInfo mbean,warn,error regist appinfo mbean
Error unregistering AppInfo mbean,warn,error unregist appinfo mbean
Kafka version: *,info,kafka version
Kafka commitId: *,info,kafka commitid
Kafka startTimeMs: *,info,kafka starttimem
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
"Couldn't find file * for FileStreamSourceTask, sleeping to wait for it to be created",warn,could find file filestreamsourcetask sleep wait creat
Usage: ConnectDistributed worker.properties,info,usag connectdistribut
Scanning for plugin classes. This might take a moment ...,info,scan plugin class might take moment
Kafka Connect distributed worker initialization took *ms,info,kafka connect distribut worker initi took ms
Usage: ConnectStandalone worker.properties connector1.properties [connector2.properties ...],info,usag connectstandalon
Kafka Connect standalone worker initializing ...,info,kafka connect standalon worker initi
Scanning for plugin classes. This might take a moment ...,info,scan plugin class might take moment
Kafka Connect standalone worker initialization took *ms,info,kafka connect standalon worker initi took ms
Created connector *,info,creat connector
Setting up All Policy for ConnectorClientConfigOverride. This will allow all client configurations to be overridden,info,set polici connectorclientconfigoverrid allow client configur overridden
Setting up None Policy for ConnectorClientConfigOverride. This will disallow any client configuration to be overridden,info,set none polici connectorclientconfigoverrid disallow client configur overridden
Setting up Principal policy for ConnectorClientConfigOverride. This will allow `sasl` client configuration to be overridden.,info,set princip polici connectorclientconfigoverrid allow sasl client configur overridden
Kafka Connect starting,info,kafka connect start
Kafka Connect started,info,kafka connect start
Kafka Connect stopping,info,kafka connect stop
Kafka Connect stopped,info,kafka connect stop
Scheduling a restart of connector * in * ms,info,schedul restart connector ms
$$$Empty Message$$$,info,empti messag
"Worker configuration property '*'* is deprecated and may be removed in an upcoming release. The specified value '*' matches the default, so this property can be safely removed from the worker configuration.",info,worker configur properti deprec may remov upcom releas specifi valu match default properti safe remov worker configur
Worker configuration property '*'* is deprecated and may be removed in an upcoming release. The specified value '*' does NOT match the default and recommended value '*'.,warn,worker configur properti deprec may remov upcom releas specifi valu match default recommend valu
Worker configuration property '*'* is deprecated and may be removed in an upcoming release.,warn,worker configur properti deprec may remov upcom releas
Could not stop task,warn,could stop task
Could not close consumer,warn,could close consum
Could not close transformation chain,warn,could close transform chain
* Commit of offsets timed out,warn,commit offset time
* Sink task finished initialization and start,info,sink task finish initi start
* Committing offsets synchronously using sequence number *: *,info,commit offset synchron use sequenc number
* Committing offsets asynchronously using sequence number *: *,info,commit offset asynchron use sequenc number
* Offset commit failed during close,warn,offset commit fail close
"* Ignoring invalid task provided offset */* -- not yet consumed, taskOffset=* currentOffset=*",warn,ignor invalid task provid offset yet consum
"* Ignoring invalid task provided offset */* -- partition not assigned, assignment=*",warn,ignor invalid task provid offset partit assign
* Cannot rewind * to null offset,warn,rewind null offset
Worker starting,info,worker start
Worker started,info,worker start
Worker stopping,info,worker stop
Shutting down connectors * uncleanly; herder should have shut down connectors before the Worker is stopped,warn,shut connector uncleanli herder shut connector worker stop
Shutting down tasks * uncleanly; herder should have shut down tasks before the Worker is stopped,warn,shut task uncleanli herder shut task worker stop
Worker stopped,info,worker stop
Creating connector * of type *,info,creat connector type
Instantiated connector * with version * of type *,info,instanti connector version type
Finished creating connector *,info,finish creat connector
Stopping connector *,info,stop connector
Ignoring stop request for unowned connector *,warn,ignor stop request unown connector
Stopped connector *,info,stop connector
Creating task *,info,creat task
Instantiated task * with version * of type *,info,instanti task version type
Set up the key converter * for task * using the worker config,info,set key convert task use worker config
Set up the key converter * for task * using the connector config,info,set key convert task use connector config
Set up the value converter * for task * using the worker config,info,set valu convert task use worker config
Set up the value converter * for task * using the connector config,info,set valu convert task use connector config
Set up the header converter * for task * using the worker config,info,set header convert task use worker config
Set up the header converter * for task * using the connector config,info,set header convert task use connector config
Initializing: *,info,initi
Initializing: *,info,initi
Ignoring stop request for unowned task *,warn,ignor stop request unown task
Stopping task *,info,stop task
Ignoring await stop request for non-present task *,warn,ignor await stop request task
Setting connector * state to *,info,set connector state
Could not close producer,warn,could close produc
Could not close transformation chain,warn,could close transform chain
Could not stop task,warn,could stop task
* Source task finished initialization and start,info,sourc task finish initi start
* failed to poll records from SourceTask. Will retry operation.,warn,fail poll record sourcetask retri oper
"* Failed to send *, backing off before retrying:",warn,fail send back retri
* Committing offsets,info,commit offset
* flushing * outstanding messages for offset commit,info,flush outstand messag offset commit
"* Flush of offsets interrupted, cancelling",warn,flush offset interrupt cancel
* Finished commitOffsets successfully in * ms,info,finish commitoffset success ms
* Cannot transition connector to * since it has failed,warn,transit connector sinc fail
Rebalance started,info,rebal start
Herder starting,info,herder start
Herder started,info,herder start
Herder stopped,info,herder stop
Handling task config update by restarting tasks *,info,handl task config updat restart task
Stopping connectors and tasks that are still assigned to this worker.,info,stop connector task still assign worker
Herder stopping,info,herder stop
Herder stopped,info,herder stop
"Join group completed, but assignment failed and we are the leader. Reading to end of config and retrying.",warn,join group complet assign fail leader read end config retri
"Join group completed, but assignment failed and we lagging. Reading to end of config and retrying.",warn,join group complet assign fail lag read end config retri
"Join group completed, but assignment failed. We were up to date, so just retrying.",warn,join group complet assign fail date retri
Catching up to assignment's config offset.,warn,catch assign config offset
Current config state offset * does not match group assignment *. Forcing rebalance.,info,current config state offset match group assign forc rebal
"Current config state offset * is behind group assignment *, reading to end of config log",info,current config state offset behind group assign read end config log
"Finished reading to end of log and updated config snapshot, new config log offset: *",info,finish read end log updat config snapshot new config log offset
Didn't reach end of config log quickly enough,warn,reach end config log quickli enough
Starting connectors and tasks using config offset *,info,start connector task use config offset
Finished starting connectors and tasks,info,finish start connector task
Starting task *,info,start task
Starting connector *,info,start connector
Skipping reconfiguration of connector * since it is not running,info,skip reconfigur connector sinc run
Connector * config removed,info,connector config remov
Connector * config updated,info,connector config updat
Tasks * configs updated,info,task config updat
Connector * target state change,info,connector target state chang
Joined group at generation * and got assignment: *,info,join group gener got assign
Finished stopping tasks in preparation for rebalance,info,finish stop task prepar rebal
"Wasn't unable to resume work after last rebalance, can skip stopping connectors and tasks",info,unabl resum work last rebal skip stop connector task
"Was selected to perform assignments, but do not have latest config found in sync request. Returning an empty configuration to trigger re-sync.",info,select perform assign latest config found sync request return empti configur trigger
"Was selected to perform assignments, but do not have latest config found in sync request. Returning an empty configuration to trigger re-sync.",info,select perform assign latest config found sync request return empti configur trigger
Added plugin '*',info,ad plugin
Loading plugin from: *,info,load plugin
Registered loader: *,info,regist loader
Added alias '*' to plugin '*',info,ad alia plugin
Added aliases '*' and '*' to plugin '*',info,ad alias plugin
could not create Vfs.Dir from url. ignoring the exception and continuing,warn,could creat url ignor except continu
Resolving symbolic link '*' failed. Ignoring this path.,warn,resolv symbol link fail ignor path
Plugin path contains both java archives and class files. Returning only the archives,warn,plugin path contain java archiv class file return archiv
Added connector for ,info,ad connector
Initializing REST server,info,initi rest server
Initializing REST resources,info,initi rest resourc
REST resources initialized; server is started and ready to handle requests,info,rest resourc initi server start readi handl request
Stopping REST server,info,stop rest server
Error while invoking close on ,warn,error invok close
REST server stopped,info,rest server stop
The resource * is already registered,warn,resourc alreadi regist
The resource * is already registered,warn,resourc alreadi regist
Ignoring unknown expanion type *,info,ignor unknown expanion type
Herder starting,info,herder start
Herder started,info,herder start
Herder stopping,info,herder stop
Herder stopped,info,herder stop
Skipping update of connector * since it is not running,info,skip updat connector sinc run
Starting FileOffsetBackingStore with file *,info,start fileoffsetbackingstor file
Stopped FileOffsetBackingStore,info,stop fileoffsetbackingstor
Invalid task status key *,warn,invalid task statu key
Discarding record with invalid connector status key *,warn,discard record invalid connector statu key
Discarding record with invalid task status key *,warn,discard record invalid task statu key
Failed to parse task status with key *,warn,fail pars task statu key
Discarding record with invalid key *,warn,discard record invalid key
Starting KafkaConfigBackingStore,info,start kafkaconfigbackingstor
Started KafkaConfigBackingStore,info,start kafkaconfigbackingstor
Closing KafkaConfigBackingStore,info,close kafkaconfigbackingstor
Closed KafkaConfigBackingStore,info,close kafkaconfigbackingstor
Successfully processed removal of connector '*',info,success process remov connector
Starting KafkaOffsetBackingStore,info,start kafkaoffsetbackingstor
Finished reading offsets topic and starting KafkaOffsetBackingStore,info,finish read offset topic start kafkaoffsetbackingstor
Stopping KafkaOffsetBackingStore,info,stop kafkaoffsetbackingstor
Stopped KafkaOffsetBackingStore,info,stop kafkaoffsetbackingstor
Started SchemaSourceTask *-* producing to topic * resuming from seqno *,info,start schemasourcetask produc topic resum seqno
Started VerifiableSourceTask *-* producing to topic * resuming from seqno *,info,start verifiablesourcetask produc topic resum seqno
Starting KafkaBasedLog with topic ,info,start kafkabasedlog topic
Finished reading KafkaBasedLog for topic ,info,finish read kafkabasedlog topic
Started KafkaBasedLog for topic ,info,start kafkabasedlog topic
Stopping KafkaBasedLog for topic ,info,stop kafkabasedlog topic
Stopped KafkaBasedLog for topic ,info,stop kafkabasedlog topic
Created topic * on brokers at *,info,creat topic broker
Creating Kafka admin client,info,creat kafka admin client
Kafka cluster version is too old to return cluster ID,info,kafka cluster version old return cluster id
Kafka cluster ID: *,info,kafka cluster id
Starting graceful shutdown of thread *,info,start grace shutdown thread
Forcing shutdown of thread *,info,forc shutdown thread
Removing handle for * task in connector *,info,remov handl task connector
Created task * for connector *,info,creat task connector
Started * connector *,info,start connector
Stopped * connector *,info,stop connector
Configured * connector *,info,configur connector
Started * task * with properties *,info,start task properti
Task * committing offsets,info,task commit offset
Stopped * task *,info,stop task
Starting connector *,info,start connector
preCommit was called with topic-partition * that is not included in the assignments of this task *,warn,precommit call includ assign task
Kafka did not shutdown gracefully,warn,kafka shutdown grace
Started worker *,info,start worker
Stopping worker *,info,stop worker
Worker * did not shutdown gracefully,warn,worker shutdown grace
Starting Connect cluster '*' with * workers,info,start connect cluster worker
PUT response for URL=* is *,info,put respons
PUT error response for URL=* is *,info,put error respons
State transition from * to *,info,state transit
