static_text,log_level,preprocessed_text
Failed to verify host address: *,error,fail verifi host address
Failed to verify hostname: *,error,fail verifi hostnam
Unable to delete tmp file *,warn,unabl delet tmp file
Unable to abort file *,warn,unabl abort file
Unable to delete tmp file during abort *,warn,unabl delet tmp file abort
Error creating SSL context and options,error,error creat ssl context option
Error parsing config property *,error,error pars config properti
* not specified,warn,specifi
* not specified,warn,specifi
"Failed to list all network interfaces, assuming 1",warn,fail list network interfac assum
Exception in closing ,warn,except close
Error while configuration from: *,error,error configur
Error in runLoop(),warn,error runloop
Error closing watch service,warn,error close watch servic
Error from callback,error,error callback
"Watch key no longer valid, maybe the directory is inaccessible?",error,watch key longer valid mayb directori inaccess
Problems while registering log4j jmx beans!,error,problem regist log4j jmx bean
Failed to register MBean *,warn,fail regist mbean
Error during unregister of [*],warn,error unregist
Unexpected exception during unregister of [*]. It should be reviewed and fixed.,error,unexpect except unregist review fix
"Invalid name ""*"" for class *",warn,invalid name class
Cannot boot MetricsProvider *,error,boot metricsprovid
Cannot boot MetricsProvider *,error,boot metricsprovid
$$$Empty Message$$$,warn,empti messag
Message:* Value:*,warn,messag valu
Last transaction was partial.,error,last transact partial
Exception occurred from thread *,warn,except occur thread
Failed to process *,error,fail process
Dumping request buffer: 0x*,error,dump request buffer 0x
FIXMSG,error,fixmsg
Closing connection to *,warn,close connect
Unable to closeSession() for session: 0x*,warn,unabl closesess session 0x
Error sending data synchronously ,error,error send data synchron
trying to do i/o on a null socket for session: 0x*,warn,tri null socket session 0x
CancelledKeyException causing close of session: 0x*,warn,cancelledkeyexcept caus close session 0x
Unexpected exception,warn,unexpect except
Closing session 0x*,warn,close session 0x
Close of session 0x*,warn,close session 0x
Error cancelling command selection key,error,error cancel command select key
Unexpected exception. Destruction averted.,warn,unexpect except destruct avert
"The configured * is invalid, going to use the default *zookeeper.snapshotSizeFactor0.33",warn,configur invalid go use default
"Error parsing *, using default value *zookeeper.snapshotSizeFactor0.33",error,error pars use default valu
"The configured commitLogCount * is less than the recommended *, going to use the recommended onezookeeper.commitLogCount500",warn,configur commitlogcount less recommend go use recommend
Error parsing * - use default value *zookeeper.commitLogCount500,error,error pars use default valu
Unable to get size of most recent snapshot,error,unabl get size recent snapshot
Unable to find proposals from txnlog for zxid: 0x*,warn,unabl find propos txnlog zxid 0x
Unable to read txnlog from disk,error,unabl read txnlog disk
Error closing file iterator,warn,error close file iter
"configuration znode missing (should only happen during upgrade), creating the node",warn,configur znode miss happen upgrad creat node
"Severe unrecoverable error, exiting",error,sever unrecover error exit
Failed to register with JMX,warn,fail regist jmx
Failed to register with JMX,warn,fail regist jmx
Error updating DB,error,error updat db
Failed to unregister with JMX,warn,fail unregist jmx
Failed to unregister with JMX,warn,fail unregist jmx
Incorrect password from * for session 0x*,warn,incorrect password session 0x
Failed to register with JMX,warn,fail regist jmx
"Exception while establishing session, closing",warn,except establish session close
Unexpected interruption,warn,unexpect interrupt
Unexpected interruption,warn,unexpect interrupt
Received packet at server of unknown type *,warn,receiv packet server unknown type
Unable to process request,error,unabl process request
"SnapCount should be 2 or more. Now, snapCount is reset to 2",warn,snapcount snapcount reset
Connection request from old client *; will be dropped if server is in r-o mode,warn,connect request old client drop server mode
Invalid max bytes for all large requests *. It should be a positive number.,warn,invalid max byte larg request posit number
Will not change the setting. The max bytes stay at *,warn,chang set max byte stay
Invalid large request threshold *. It should be -1 or positive. Setting to -1 ,warn,invalid larg request threshold posit set
Caught runtime exception from AuthenticationProvider: *,warn,caught runtim except authenticationprovid
No authentication provider for scheme: * has *,warn,authent provid scheme
Authentication failed for scheme: *,warn,authent fail scheme
Client * failed to SASL authenticate: *,warn,client fail sasl authent
Maintaining client connection despite SASL authentication failure.,warn,maintain client connect despit sasl authent failur
"Closing client connection due to server requires client SASL authenticaiton,but client SASL authentication has failed, or client is not configured with SASL authentication.",warn,close client connect due server requir client sasl authenticaiton client sasl authent fail client configur sasl authent
Closing client connection due to SASL authentication failure.,warn,close client connect due sasl authent failur
cnxn.saslServer is null: cnxn object did not initialize its saslServer properly.,error,null cnxn object initi saslserv properli
Zxid outstanding 0x* is less than current 0x*,warn,zxid outstand 0x less current 0x
*****>>>>> Got * *,warn,got
Uncaught exception in authWriteRequest with: ,error,uncaught except authwriterequest
IOException : *,error,ioexcept
Thread * died,error,thread die
ignored exception during selector close.,warn,ignor except selector close
"Unable to set socket linger to 0, socket close may stall in CLOSE_WAIT",warn,unabl set socket linger socket close may stall
Ignoring unexpected runtime exception,warn,ignor unexpect runtim except
Ignoring unexpected exception,warn,ignor unexpect except
Unexpected ops in accept select *,warn,unexpect op accept select
Ignoring IOException while selecting,warn,ignor ioexcept select
Ignoring unexpected runtime exception,warn,ignor unexpect runtim except
Ignoring unexpected exception,warn,ignor unexpect except
Unexpected ops in select *,warn,unexpect op select
Ignoring IOException while selecting,warn,ignor ioexcept select
Error while closing server socket.,error,error close server socket
Error joining old acceptThread when reconfiguring client port.,error,error join old acceptthread reconfigur client port
Error reconfiguring client port to *,error,error reconfigur client port
Ignoring exception closing cnxn session id 0x*,warn,ignor except close cnxn session id 0x
Error closing listen socket,warn,error close listen socket
Ignoring interrupted exception during shutdown,warn,ignor interrupt except shutdown
Ignoring unexpected exception during shutdown,warn,ignor unexpect except shutdown
"Invalid arguments, exiting abnormally",error,invalid argument exit abnorm
"Invalid config, exiting abnormally",error,invalid config exit abnorm
"Unable to access datadir, exiting abnormally",error,unabl access datadir exit abnorm
"Unable to start AdminServer, exiting abnormally",error,unabl start adminserv exit abnorm
"Unexpected exception, exiting abnormally",error,unexpect except exit abnorm
Unable to register log4j JMX control,warn,unabl regist log4j jmx control
Server interrupted,warn,server interrupt
Error while stopping metrics,warn,error stop metric
Problem stopping AdminServer,warn,problem stop adminserv
Purge task is already running.,warn,purg task alreadi run
Purge task not started. Ignoring shutdown!,warn,purg task start ignor shutdown
Error occurred while purging.,error,error occur purg
"Too busy to snap, skipping",warn,busi snap skip
Unexpected exception,warn,unexpect except
Interrupted while wating for * to finish,warn,interrupt wate finish
Got IO exception during shutdown,warn,got io except shutdown
Got request processor exception during shutdown,warn,got request processor except shutdown
Unable to read txnlog from disk,error,unabl read txnlog disk
Error closing file iterator,warn,error close file iter
Reconfig operation requested but reconfig feature is disabled.,error,reconfig oper request reconfig featur disabl
"skipACL is set, reconfig operation will skip ACL checks!",warn,skipacl set reconfig oper skip acl check
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
unknown type *,warn,unknown type
unknown type *,warn,unknown type
Failed to process *,error,fail process
Dumping request buffer: 0x*,error,dump request buffer 0x
Missing AuthenticationProvider for *,error,miss authenticationprovid
Error closing a command socket ,error,error close command socket
ExecutorService rejected execution,warn,executorservic reject execut
Unexpected exception,warn,unexpect except
ERROR: ACL not available for long *,error,error acl avail long
exception during session close,warn,except session close
Could not register connection,warn,could regist connect
$$$Empty Message$$$,error,empti messag
Unexpected interruption,error,unexpect interrupt
Interrupted while waiting for * to finish,warn,interrupt wait finish
Interrupted while waiting for * to finish,warn,interrupt wait finish
"Unexpected exception when creating WatchManager, exiting abnormally",error,unexpect except creat watchmanag exit abnorm
Missing count node for stat *,error,miss count node stat
Missing count node for quota *,error,miss count node quota
Quota exceeded: * count=* limit=*,warn,quota exceed
Quota exceeded: * bytes=* limit=*,warn,quota exceed
Failed to set parent cversion for: *,error,fail set parent cversion
Unexpected extra paths under session * which are not in txn 0x*,warn,unexpect extra path session txn 0x
Ignoring NoNodeException for path * while removing ephemeral for dead session 0x*,warn,ignor nonodeexcept path remov ephemer dead session 0x
Missing quota stat node *,warn,miss quota stat node
"Got EOF exception while reading the digest, likely due to the reading an older snapshot.",warn,got eof except read digest like due read older snapshot
"Watching for zxid 0x* during snapshot recovery, but it wasn't found.",error,watch zxid 0x snapshot recoveri found
Too many connections from * - max is *,warn,mani connect max
Exception caught,warn,except caught
channelRead() on a closed or closing NettyServerCnxn,error,channelread close close nettyservercnxn
Unexpected exception in receive,error,unexpect except receiv
Error getting peer certificates,error,error get peer certif
Error getting peer certificates,error,error get peer certif
X509 Auth provider not found: *,error,x509 auth provid found
Authentication failed for session 0x*,error,authent fail session 0x
Unsuccessful handshake with session 0x*,error,unsuccess handshak session 0x
"unable to set up SslAuthProvider, turning off client port unification",error,unabl set sslauthprovid turn client port unif
Auth provider not found: *,error,auth provid found
Ignoring exception closing cnxn sessionid 0x*,warn,ignor except close cnxn sessionid 0x
Error while reconfiguring,error,error reconfigur
Error checking containers,error,error check contain
Could not delete container: *,error,could delet contain
"Severe unrecoverable error, from thread : *",error,sever unrecover error thread
Re-registering command * (primary name = *),warn,command primari name
Failed to load authentication certificates for admin server.,error,fail load authent certif admin server
Unable to start JettyAdminServer,warn,unabl start jettyadminserv
Unable to start JettyAdminServer,warn,unabl start jettyadminserv
Unable to start JettyAdminServer,warn,unabl start jettyadminserv
Unable to start JettyAdminServer,warn,unabl start jettyadminserv
Unable to start JettyAdminServer,warn,unabl start jettyadminserv
"Unable to load jetty, not starting JettyAdminServer",warn,unabl load jetti start jettyadminserv
Incoming connection has no data,warn,incom connect data
Exception writing command response to JSON:,warn,except write command respons json
Exception writing command response to JSON:,warn,except write command respons json
Exception writing command response to JSON:,warn,except write command respons json
$$$Empty Message$$$,error,empti messag
User '*' not found in list of DIGEST-MD5 authenticateable users.,warn,user found list authenticat user
No password found for user: *,warn,password found user
Failed to set name based on Kerberos authentication rules.,error,fail set name base kerbero authent rule
keystore not specified for client connection,warn,keystor specifi client connect
Failed to create key manager,error,fail creat key manag
Truststore not specified for client connection,warn,truststor specifi client connect
Failed to create trust manager,error,fail creat trust manag
No trust manager available to authenticate session 0x*,error,trust manag avail authent session 0x
Failed to trust certificate for session 0x*,error,fail trust certif session 0x
getData failed,error,getdata fail
bad formatting,error,bad format
UTF-8,error,
UTF-8,error,
Unexpected ensemble name: ensemble name: * client ip: *,warn,unexpect ensembl name ensembl name client ip
Missing algorithm,error,miss algorithm
Problems loading *,warn,problem load
Error in running command ,error,error run command
Current zxid * is <= * for *,warn,current zxid
Unexpected exception,warn,unexpect except
Error closing file iterator,warn,error close file iter
fsync-ing the write ahead log in * took *ms which will adversely effect operation latency.File size is * bytes. See the ZooKeeper troubleshooting guide,warn,write ahead log took ms advers effect oper size byte see zookeep troubleshoot guid
Unable to truncate *,warn,unabl truncat
Ignoring exception during close,warn,ignor except close
"*This should only be allowed during upgrading.No snapshot found, but there are log entries. ",warn,allow snapshot found log entri
"Unexpected empty data tree, setting zxid to -1",warn,unexpect empti data tree set zxid
"Highest txn zxid 0x* is not covering the snapshot digest zxid 0x*, which might lead to inconsistent state",warn,highest txn zxid 0x cover snapshot digest zxid 0x might lead inconsist state
*(highestZxid) > *(next log) for type *,error,highestzxid next log type
Could not delete empty snapshot file: *,warn,could delet empti snapshot file
Last transaction was partial.,error,last transact partial
problem reading snap file *,warn,problem read snap file
invalid snapshot *,warn,invalid snapshot
Read incorrect number of bytes from *,error,read incorrect number byte
Unable to open file *,error,unabl open file
Read incorrect number of bytes from *,error,read incorrect number byte
Unable to open file *,error,unabl open file
ACK for 0x* received before ACK for 0x*,warn,ack 0x receiv ack 0x
"Server failed to authenticate quorum learner, addr: *, closing connection",error,server fail authent quorum learner addr close connect
Exception while closing socket,error,except close socket
Unexpected exception at *,warn,unexpect except
Error closing socket for handler *,warn,error close socket handler
Unexpected exception,warn,unexpect except
Unexpected exception,warn,unexpect except
First packet * is not FOLLOWERINFO or OBSERVERINFO!,error,first packet followerinfo observerinfo
* is not ACKEPOCH,error,ackepoch
"Next packet was supposed to be an ACK, but received packet: *",error,next packet suppos ack receiv packet
"unexpected quorum packet, type: *",warn,unexpect quorum packet type
Unexpected exception causing shutdown while sock still open,error,unexpect except caus shutdown sock still open
Unexpected exception in LearnerHandler.,error,unexpect except learnerhandl
too many concurrent sync.,error,mani concurr sync
Unexpected exception in LearnerHandler.,error,unexpect except learnerhandl
******* GOODBYE * ********,warn,goodby
Unexpected interruption,warn,unexpect interrupt
Attempting to start sending thread after it already started,error,attempt start send thread alreadi start
Forcing snapshot sync - should not see this in production,warn,forc snapshot sync see product
Unhandled scenario for peer sid: * maxCommittedLog=0x* minCommittedLog=0x* lastProcessedZxid=0x* peerLastZxid=0x* txnLogSyncEnabled=*,warn,unhandl scenario peer sid
Unhandled scenario for peer sid: * fall back to use snapshot,error,unhandl scenario peer sid fall back use snapshot
Cannot send TRUNC to peer sid:  |  peer zxid is from different epoch,warn,send trunc peer sid peer zxid differ epoch
Ignoring unexpected exception,warn,ignor unexpect except
Ignoring unexpected exception during socket close,warn,ignor unexpect except socket close
Closing connection to peer due to transaction timeout.,warn,close connect peer due transact timeout
IO exception while sending response,error,io except send respons
"Closing connection to leader, exception during packet send",warn,close connect leader except packet send
"Closing connection to leader, exception during packet send",warn,close connect leader except packet send
Couldn't bind to port *,error,could bind port
Couldn't bind to *,error,could bind
exception while shutting down acceptor.,warn,except shut acceptor
Exception while connecting to quorum learner,error,except connect quorum learner
Error closing socket,warn,error close socket
Exception while accepting follower,warn,except accept follow
Enough followers present. Perhaps the initTicks need to be increased.,warn,enough follow present perhap inittick need increas
Ignoring unexpected exception during close,warn,ignor unexpect except close
Commiting zxid 0x* from * noy first!,warn,commit zxid 0x noy first
First is *,warn,first
Going to commit null: *,warn,go commit null
Trying to commit future proposal: zxid 0x* from *,warn,tri commit futur propos zxid 0x
Committed request not found on toBeApplied: *,error,commit request found tobeappli
NEWLEADER ACK from sid: * is from a different epoch - current 0x* received 0x*,error,newlead ack sid differ epoch current 0x receiv 0x
Somehow session 0x* expired right after being renewed! (impossible),error,somehow session 0x expir right renew imposs
"Invalid arguments, exiting abnormally",error,invalid argument exit abnorm
"Invalid config, exiting abnormally",error,invalid config exit abnorm
"Unable to access datadir, exiting abnormally",error,unabl access datadir exit abnorm
"Unable to start AdminServer, exiting abnormally",error,unabl start adminserv exit abnorm
"Unexpected exception, exiting abnormally",error,unexpect except exit abnorm
"Either no config or no quorum defined in config, running in standalone mode",warn,either config quorum defin config run standalon mode
Unable to register log4j JMX control,warn,unabl regist log4j jmx control
Quorum Peer interrupted,warn,quorum peer interrupt
Error while stopping metrics,warn,error stop metric
"LearnerHandler is too far behind (0x* < 0x*), disconnecting * at *",error,learnerhandl far behind 0x 0x disconnect
$$$Empty Message$$$,error,empti messag
Not starting Read-only server as startup follows shutdown!,warn,start server startup follow shutdown
Failed to register with JMX,warn,fail regist jmx
Failed to register with JMX,warn,fail regist jmx
Failed to unregister with JMX,warn,fail unregist jmx
Failed to unregister with JMX,warn,fail unregist jmx
Failed to register with JMX,warn,fail regist jmx
Failed to register with JMX,warn,fail regist jmx
Failed to register with JMX,warn,fail regist jmx
Failed to unregister with JMX,warn,fail unregist jmx
Failed to unregister with JMX,warn,fail unregist jmx
Ignoring unexpected exception during shutdown,warn,ignor unexpect except shutdown
Ignoring unexpected exception in syncprocessor shutdown,warn,ignor unexpect except syncprocessor shutdown
Error creating upgrade request,warn,error creat upgrad request
Unexpected error in upgrade,error,unexpect error upgrad
NextQuorumVerifier is initiated to null,warn,nextquorumverifi initi null
Invalid autopurge.snapRetainCount:  | . Defaulting to ,warn,invalid default
deleting * failed,warn,delet fail
"Invalid configuration, only one server specified (ignoring)",error,invalid configur one server specifi ignor
No server failure will be tolerated. You need at least 3 servers.,warn,server failur toler need least server
"Non-optimial configuration, consider an odd number of servers.",warn,configur consid odd number server
Peer type from servers list (*) doesn't match peerType (*). Defaulting to servers list.,warn,peer type server list match peertyp default server list
Proposed leader epoch  |  is less than our accepted epoch ,error,propos leader epoch less accept epoch
Exception when following the leader,warn,except follow leader
Got zxid 0x* expected 0x*,warn,got zxid 0x expect 0x
Received an UPTODATE message after Follower started,error,receiv uptod messag follow start
Unknown packet type: *,warn,unknown packet type
error getting zxid,warn,error get zxid
Unexpected error in upgrade,error,unexpect error upgrad
Not expecting a sync.,warn,expect sync
"Socket mode detection timed out after * ms, assuming PLAINTEXT",warn,socket mode detect time ms assum plaintext
Failed to restore old socket timeout value of * ms,warn,fail restor old socket timeout valu ms
No challenge mutex object,error,challeng mutex object
Ignoring exception receiving,warn,ignor except receiv
Got a short response: * *,warn,got short respons
Got bad Msg type: *,warn,got bad msg type
unknown type *,warn,unknown type
"Incorrect challenge: *, *",warn,incorrect challeng
No challenge for host: * *,warn,challeng host
Empty ack semaphore,error,empti ack semaphor
No such address in the ensemble configuration *,warn,address ensembl configur
Received message of incorrect type *,warn,receiv messag incorrect type
Exception while sending challenge: ,warn,except send challeng
Exception while sending challenge: ,warn,except send challeng
Address is not in the configuration: *,error,address configur
Challenge request exception: ,warn,challeng request except
No challenge with tag: *,warn,challeng tag
Ack exception: ,warn,ack except
Sending exception: ,warn,send except
Exception while sending ack: ,warn,except send ack
unknown type *,warn,unknown type
Failed to register with JMX,warn,fail regist jmx
Failed to unregister with JMX,warn,fail unregist jmx
Server address has not been initialized,warn,server address initi
Election address has not been initialized,warn,elect address initi
Failed to resolve address: *,warn,fail resolv address
Got more than just an xid! Len = *,warn,got xid len
Unexpected runtime exception in ResponderThread,warn,unexpect runtim except responderthread
Unexpected IO exception in ResponderThread,warn,unexpect io except responderthread
QuorumPeer responder thread exited,warn,quorump respond thread exit
Problem starting AdminServer,warn,problem start adminserv
Unable to load database on disk,error,unabl load databas disk
Clobbering already-set QuorumCnxManager (restarting leader election?),warn,clobber quorumcnxmanag restart leader elect
Null listener when initializing cnx manager,error,null listen initi cnx manag
Failed to register with JMX,warn,fail regist jmx
Failed to register with JMX,warn,fail regist jmx
Failed to register with JMX,warn,fail regist jmx
FAILED to start ReadOnlyZooKeeperServer,error,fail start readonlyzookeeperserv
Unexpected exception,warn,unexpect except
Unexpected exception,warn,unexpect except
Unexpected exception,warn,unexpect except
Unexpected exception,warn,unexpect except
Unexpected exception,warn,unexpect except
QuorumPeer main thread exited,warn,quorump main thread exit
PeerState set to LOOKING,warn,peerstat set look
Problem stopping AdminServer,warn,problem stop adminserv
Error closing logs ,warn,error close log
Restarting Leader Election,warn,restart leader elect
configFilename is null! This should only happen in tests.,warn,configfilenam null happen test
setLastSeenQuorumVerifier called with stale config  | . Current version: ,error,setlastseenquorumverifi call stale config current version
Error writing next dynamic config file to disk,error,error write next dynam config file disk
Error closing file,error,error close file
Failed to register with JMX,warn,fail regist jmx
Failed to unregister with JMX,warn,fail unregist jmx
could not find learner master sid=*,warn,could find learner master
Suggested leader: *,warn,suggest leader
$$$Empty Message$$$,error,empti messag
"Exception thrown by downstream processor, unable to continue.",error,except thrown downstream processor unabl continu
Got a short response: *,error,got short respons
Something went wrong while processing config received from *,error,someth went wrong process config receiv
Something went wrong while processing config received from *,error,someth went wrong process config receiv
Interrupted Exception while waiting for new message,warn,interrupt except wait new messag
Failed to register with JMX,warn,fail regist jmx
"Notification state unrecoginized: * (n.state), *(n.sid)",warn,notif state unrecogin
Ignoring notification for non-cluster member sid * from sid *,warn,ignor notif member sid sid
Ignoring notification for sid * from non-quorum member sid *,warn,ignor notif sid member sid
Failed to unregister with JMX,warn,fail unregist jmx
Failed to register with JMX,warn,fail regist jmx
Failed to register with JMX,warn,fail regist jmx
Failed to register with JMX,warn,fail regist jmx
Could not register connection,warn,could regist connect
Failed to unregister with JMX,warn,fail unregist jmx
Failed to unregister with JMX,warn,fail unregist jmx
Exception when observing the leader,warn,except observ leader
requested next learner master * is no longer valid,warn,request next learner master longer valid
No learner master found,warn,learner master found
Ignoring proposal,warn,ignor propos
Ignoring commit,warn,ignor commit
Received an UPTODATE message after Observer started,error,receiv uptod messag observ start
Unknown packet type: *,warn,unknown packet type
Interrupted while waiting,warn,interrupt wait
"Exception while connecting, id: *, addr: *, closing learner connection",error,except connect id addr close learner connect
Exception while submitting quorum connection request,error,except submit quorum connect request
Ignoring exception reading or writing challenge: ,warn,ignor except read write challeng
"Exception handling connection, addr: *, closing server connection",error,except handl connect addr close server connect
"Exception handling connection, addr: *, closing server connection",error,except handl connect addr close server connect
$$$Empty Message$$$,error,empti messag
Exception reading or writing challenge,warn,except read write challeng
Cannot open channel to * at election address *,warn,open channel elect address
Cannot open secure channel to * at election address *,warn,open secur channel elect address
Cannot open channel to * at election address *,warn,open channel elect address
Invalid server id: * ,warn,invalid server id
Got interrupted before joining the listener,warn,got interrupt join listen
Exception while closing,error,except close
"The socket is listening for the election accepted and it timed out unexpectedly, but will retry.see ZOOKEEPER-2836",warn,socket listen elect accept time unexpectedli
Exception while listening,error,except listen
Error closing server socket,error,error close server socket
Interrupted while sleeping. Ignoring exception,error,interrupt sleep ignor except
As I'm leaving the listener thread after * errors. I won't be able to participate in leader election any longer: *.Use * property to increase retry count.zookeeper.electionPortBindRetry,error,leav listen thread error wo abl particip leader elect longer properti increas retri
Exception when shutting down listener,warn,except shut listen
Unable to access socket output stream,error,unabl access socket output stream
BufferUnderflowException ,error,bufferunderflowexcept
Failed to send last message. Shutting down thread.,error,fail send last messag shut thread
No queue of incoming messages for server *,error,queue incom messag server
Interrupted while waiting for message on queue,warn,interrupt wait messag queue
Exception when using channel: for id * my id = *,warn,except use channel id id
Send worker leaving thread id * my id = *,warn,send worker leav thread id id
Error while accessing socket for *,error,error access socket
"Connection broken for id *, my id = *",warn,connect broken id id
Interrupting SendWorker,warn,interrupt sendwork
Unable to insert an element in the queue ,error,unabl insert element queue
Unable to insert element in the recvQueue ,error,unabl insert element recvqueu
Null QuorumPeer,error,null quorump
Committing  |  without seeing txn,warn,commit without see txn
Committing zxid 0x |  but next pending txn 0x,error,commit zxid 0x next pend txn 0x
Not expecting a sync.,warn,expect sync
Could not register connection,warn,could regist connect
Error creating upgrade request,warn,error creat upgrad request
Unexpected error in upgrade,error,unexpect error upgrad
Couldn't find the leader with id = *,warn,could find leader id
connectToLeader exceeded on retries.,error,connecttolead exceed retri
"Unexpected exception, connectToLeader exceeded. tries=*, remaining init limit=*, connecting to *",error,unexpect except connecttolead exceed remain init connect
"Unexpected exception, retries exceeded. tries=*, remaining init limit=*, connecting to *",error,unexpect except retri exceed remain init connect
"Unexpected exception, tries=*, remaining init limit=*, connecting to *",warn,unexpect except remain init connect
First packet should have been NEWLEADER,error,first packet newlead
Missing signature. Got *,error,miss signatur got
Truncating log to get in sync with the leader 0x*,warn,truncat log get sync leader 0x
Not able to truncate the log 0x*,error,abl truncat log 0x
"Got unexpected packet from leader: *, exiting ... ",error,got unexpect packet leader exit
Got zxid 0x* expected 0x*,warn,got zxid 0x expect 0x
"Committing 0x*, but next proposal is 0x*",warn,commit 0x next propos 0x
Got zxid 0x* expected 0x*,warn,got zxid 0x expect 0x
"Committing 0x*, but next proposal is 0x*",warn,commit 0x next propos 0x
Missing session 0x* for validation,warn,miss session 0x valid
Ignoring error closing connection to leader,warn,ignor error close connect leader
"Failed to authenticate using SASL, server addr: *, retries=* exceeded.",warn,fail authent use sasl server addr exceed
Exception while sending failed status,warn,except send fail statu
Failed to authenticate using SASL,error,fail authent use sasl
Failed to authenticate using SASL,warn,fail authent use sasl
"Maintaining learner connection despite SASL authentication failure. server addr: *, *: *quorum.auth.serverRequireSasl",warn,maintain learner connect despit sasl authent failur server addr
SaslServer dispose() failed,error,saslserv dispos fail
Unknown status:*!,warn,unknown statu
SaslClient dispose() failed,error,saslclient dispos fail
$$$Empty Message$$$,error,empti messag
Unknown status:*!,error,unknown statu
$$$Empty Message$$$,error,empti messag
User '*' not found in list of DIGEST-MD5 authenticateable users.,warn,user found list authenticat user
No password found for user: *,warn,password found user
"SASL authorization completed, * is not authorized to connect",error,sasl author complet author connect
This really should be impossible,error,realli imposs
 is relative. Prepend . |  to indicate that you're sure!,warn,rel prepend indic sure
$$$Empty Message$$$,warn,empti messag
We should not handle *,error,handl
Not able to load class or method for com.sun.managment.UnixOperatingSystemMXBean.,warn,abl load class method
Not able to get the number of open file descriptors,warn,abl get number open file descriptor
Not able to get the max number of file descriptors,warn,abl get max number file descriptor
Last * timestamps for messages * *:,warn,last timestamp messag
* *  *,warn,
Cannot add private credential to subject; authentication at the server may fail,warn,add privat credenti subject authent server may fail
Exception while trying to create SASL client,error,except tri creat sasl client
Cannot add private credential to subject; clients authentication may fail,warn,add privat credenti subject client authent may fail
Zookeeper Server failed to create a SaslServer to interact with a client during session initiation,error,zookeep server fail creat saslserv interact client session initi
Zookeeper Quorum member experienced a PrivilegedActionException exception while creating a SaslServer using a JAAS principal context,error,zookeep quorum member experienc privilegedactionexcept except creat saslserv use jaa princip context
server principal name/hostname determination error,error,server princip determin error
Zookeeper Quorum member failed to create a SaslServer to interact with a client during session initiation,error,zookeep quorum member fail creat saslserv interact client session initi
Error parsing test.junit.threads = *.,warn,error pars
Error parsing threadid from *.,warn,error pars threadid
WARNING: cannot delete file *,warn,warn delet file
WARNING: cannot delete directory *,warn,warn delet directori
Failed to delete keytab file: *,error,fail delet keytab file
exception during write,warn,except write
socket timeout,error,socket timeout
Interrupted,warn,interrupt
Unexpected exception,error,unexpect except
Unexpected exception,error,unexpect except
"connection failed, retrying(*): local:* from:* to:*",warn,connect fail retri local
socket timed out,warn,socket time
connection exception local:* from:* to:*,warn,connect except local
unexpected exception local:* from:* to:*,warn,unexpect except local
Unexpected exception to:*,error,unexpect except
Interrupted to:*,error,interrupt
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
Error while executing bulk request,warn,error execut bulk request
$$$Empty Message$$$,warn,empti messag
unknown role [ | ] on node [ | ],warn,unknown role node
error while sniffing nodes,error,error snif node
"no nodes to set, nodes will be updated at the next sniffing round",warn,node set node updat next snif round
$$$Empty Message$$$,error,empti messag
Failed to properly stop client thread [*],error,fail properli stop client thread
$$$Empty Message$$$,warn,empti messag
cannot parse the specified url [*],warn,pars specifi url
$$$Empty Message$$$,warn,empti messag
sd_notify returned error [*],warn,return error
unexpected error while releasing pipelined http responses,error,unexpect error releas pipelin http respons
Failed to create a new channel from an accepted socket.,warn,fail creat new channel accept socket
Failed to close a socket.,warn,fail close socket
error while closing Azure client,error,error close azur client
can not get list of azure nodes: [*]. Returning empty list of nodes.,warn,get list azur node return empti list node
no network address found. ignoring [*]...,warn,network address found ignor
can not convert [*] to transport address. skipping. [*],warn,convert transport address skip
failed to get metadata for [placement/availability-zone],error,fail get metadata
$$$Empty Message$$$,warn,empti messag
unable to shutdown GCE Http Transport,warn,unabl shutdown gce http transport
disabling GCE discovery. Can not get list of nodes,warn,disabl gce discoveri get list node
unable to resolve project from metadata server for GCE discovery service,warn,unabl resolv project metadata server gce discoveri servic
unable to resolve default zone from metadata server for GCE discovery service,warn,unabl resolv default zone metadata server gce discoveri servic
unable to start GCE discovery service,warn,unabl start gce discoveri servic
$$$Empty Message$$$,warn,empti messag
exception caught during discovery,warn,except caught discoveri
can not access [*] in container {*}: *,warn,access contain
can not access [*] in container {*}: *,warn,access contain
"""Application Default Credentials"" are not supported out of the box. Additional file system permissions have to be granted to the plugin.",warn,applic default credenti support box addit file system permiss grant plugin
"Hadoop authentication method is set to [SIMPLE], but a Kerberos principal is specified. Continuing with [KERBEROS] authentication.",warn,hadoop authent method set simpl kerbero princip specifi continu kerbero authent
unexpected exception while stopping nio group,warn,unexpect except stop nio group
unexpected error while releasing pipelined http responses,error,unexpect error releas pipelin http respons
unexpected exception while stopping nio group,warn,unexpect except stop nio group
exception caught on transport layer [thread=*],warn,except caught transport layer
Exception from http client,error,except http client
Exception cause unwrapping ran for 10 levels...,warn,except caus unwrap ran 10 level
attempt to execute a cluster health operation without a task,warn,attempt execut cluster health oper without task
Cannot send ban for tasks with the parent [*] to the node [*],warn,send ban task parent node
